id_open,name_open,region_open,town_open,add_open,place_id,f_name,rate,comm,types,address,lng,lat,business_status
C3_376580000A_000013,漁香甜不辣,新竹市,北區,新竹市北區中央路77號,ChIJ_R-zr8E1aDQRAp0aqUw66sg,漁香甜不辣,3.9,513,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區大同路86號2010號東門市場2樓,120.9685791,24.8052275,OPERATIONAL
C3_376580000A_000014,三廠姜店,新竹市,北區,新竹市北區經國路二段547號,ChIJVX_6KpY1aDQR6aJAKC9eMP0,三廠姜店,3.6,940,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區經國路二段547號,120.9553317,24.8037385,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJAfjwSJqpQjQRM0Cl1gdkFjQ,吳記南京板鴨-原李嘉興板鴨主廚,3.7,630,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區羅斯福路二段44號,121.5214745,25.0279908,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJ81XtNASsQjQR7a7yBdjNmmo,新記南京板鴨,3.3,557,"['point_of_interest', 'food', 'store', 'establishment']",10491台灣台北市中山區北安路488號,121.5454312,25.0796317,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJq6qqqoOpQjQR7LTF5aLFFdQ,正記美食南京板鴨,3.8,595,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']",100台灣台北市中正區信義路二段281號,121.532267,25.033819,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJ7a7lQWDQDRQR65O6OLuas5c,南京板鴨餐廳,4.1,216,"['restaurant', 'point_of_interest', 'food', 'establishment']",103台灣台北市大同區重慶北路三段272號,121.5135913,25.0717864,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJrXDkh1CpQjQRsrGVWZsfVVM,鹹酥李 創始店,4.2,1417,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",106台灣台北市大安區金山南路二段211號,121.5262843,25.0278969,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJW99DbMSrQjQRj7VWsgJOZ9k,雙月食品社 八德店,4.9,20277,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",105台灣台北市松山區八德路二段447之1號447之1號,121.5472885,25.048337,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJV-_wCdCrQjQRqOP_SmDYbZs,老友記粥麵飯館,3.9,3216,"['restaurant', 'point_of_interest', 'food', 'establishment']",106台灣台北市大安區敦化南路一段232巷16號1樓,121.5474199,25.0408588,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJR_bdUyirQjQR7R3aP8zoHyo,荷李活茶街 HOLLYWOOD STREET (SOGO忠孝店) ｜港式飲茶 手工點心 台北美食 大安區美食 東區必吃,4.6,4089,"['restaurant', 'point_of_interest', 'food', 'establishment']",106台灣台北市大安區忠孝東路四段45號2樓,121.5446558,25.0419311,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJn6ke5ZGrQjQRnyZE_xNE4ro,小北平麵食館,4.3,872,"['restaurant', 'point_of_interest', 'food', 'establishment']",105台灣台北市松山區延壽街97號,121.5663889,25.0572222,OPERATIONAL
C3_376580000A_000015,李家店南京鹹水鴨,新竹市,東區,新竹市東區民族路82號,ChIJA2I308erQjQR6GG5TJzlSbY,云滇 Yundish（敦化店）,4.1,1300,"['restaurant', 'point_of_interest', 'food', 'establishment']",106台灣台北市大安區忠孝東路四段235-1號,121.5537239,25.0419441,OPERATIONAL
