ev_name,county,address,geo_loc,pic_url,accu_url,s_time,e_time
藝術就在日常裡沙龍講座No.3《崑曲之美．水之意象》(免費),台北市,台北市信義區福德街96號,POINT(25.0381083 121.5832864),https://static.accupass.com/eventbanner/2504190241282119751657_P520x260.jpg,https://www.accupass.com/event/2504190243522044453793?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 19:00:00,2025-05-10 20:30:00
"政大電影節 叛逃祭 — 05/08（四）《有機體的秘密》NCCU FILM FEST – ""WR: Mysteries of the Organism"" (THU, May 8)",台北市,台北市文山區指南路二段64號,POINT(24.9870651 121.5779656),https://static.accupass.com/eventbanner/2504070550111972989863_P520x260.jpg,https://www.accupass.com/event/2504070752471860425464?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-08 19:00:00,2025-05-08 21:00:00
領略聲音之美｜白玉光—軍歌的發展與演唱,台北市,台北市中山區民權東路一段2號,POINT(25.0624973 121.5230842),https://static.accupass.com/eventbanner/2504100747528114080920_P520x260.jpg,https://www.accupass.com/event/2504100745202382354190?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-12 19:00:00,2025-05-12 21:00:00
〖 台北 〗全台首發!始祖級 Champagne Gosset 歌榭香檳酒莊 限量新品餐酒會,台北市,台北市信義區松仁路100號47樓,POINT(25.0344547 121.5678798),https://static.accupass.com/eventbanner/2503310332087693635010_P520x260.jpg,https://www.accupass.com/event/2503280118389638018610?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-21 19:00:00,2025-05-21 21:00:00
2025 自釀梅酒體驗 (加開場）,台北市,台北市共煮生活實驗室(大安區信義路四段337號七樓),POINT(25.0332901 121.5564323),https://static.accupass.com/eventbanner/2504150913511617840416_P520x260.jpg,https://www.accupass.com/event/2504150901285938211010?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-03 14:00:00,2025-05-03 16:00:00
動手讓家更溫暖-居家實用技能培訓課程,桃園市,桃園市平鎮區金陵路二段521號,POINT(24.9313252 121.2263517),https://static.accupass.com/eventbanner/2502110827581947299681_P520x260.jpg,https://www.accupass.com/event/2502130556491265515266?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-12 08:30:00,2025-05-18 17:00:00
愛在新北海陸空【第1場｜遊艇午茶十三行｜響應「2025雙北世界壯年運動會」】新北市政府114年單身聯誼活動,新北市,新北市-,POINT(25.0329694 121.5654177),https://static.accupass.com/eventbanner/2504160125027579748170_P520x260.jpg,https://www.accupass.com/event/2503311346131259737705?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-18 08:00:00,2025-05-18 17:30:00
2025屏東好客米食節｜長桌饗宴,屏東縣,屏東縣屏東公園(屏東市公園路),POINT(22.6746753 120.4923113),https://static.accupass.com/eventbanner/2504161143111404945060_P520x260.jpg,https://www.accupass.com/event/2504151544339823048300?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 11:00:00,2025-05-18 14:00:00
"【張仲良個展：巴黎即景&抒寫歐洲風景 】CHANG, Chung-Liang: Tableaux Parisiens ~ Les paysages, les traits et les traces",台北市,台北市中山區中山北路二段39巷3號B2,POINT(25.0541725 121.5240728),https://static.accupass.com/eventbanner/2503281006162821127300_P520x260.jpg,https://www.accupass.com/event/2503130704461228723512?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-04 11:00:00,2025-05-16 21:00:00
『智慧新光勢 · 光電創未來』交流研討會,台北市,台北市松山區復興北路99號,POINT(25.0528386 121.5443943),https://static.accupass.com/eventbanner/2504210538291073480575_P520x260.jpg,https://www.accupass.com/event/2504060606351871217771?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 13:00:00,2025-05-17 17:30:00
【台中場】非誠勿擾快速約會（05/18星期日下午）,台中市,台中市南區忠明南路787號21樓之1,POINT(24.1234118 120.6608412),https://static.accupass.com/eventbanner/2501100050009643247030_P520x260.jpg,https://www.accupass.com/event/2501100041578489259280?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-18 13:20:00,2025-05-18 17:30:00
五月場次【假面舞會】社交x解謎x遊戲－交朋友應該是一件好玩的事！,台北市,台北市大同區長安西路39號1樓(「MOJO 1921」咖啡廳）,POINT(25.0505778 121.5195215),https://static.accupass.com/eventbanner/2504030327191164795180_P520x260.jpg,https://www.accupass.com/event/2504030325579044907710?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-02 19:00:00,2025-05-16 22:00:00
前輩領航計畫｜破解中小企業轉型困境,台北市,台北市中山區民生東路二段178號,POINT(25.057654 121.5362374),https://static.accupass.com/eventbanner/2504210811004291247960_P520x260.jpg,https://www.accupass.com/event/2504110857316439952740?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-22 14:00:00,2025-05-22 17:00:00
